Row,Building,City,Height m,Height ft,Floors,Year,Status
1915,Thomas F. Eagleton United States Courthouse,Saint Louis,169.84 m,557.22 ft,28 floors,2000,completed
1916,125 High Street,Boston,137.77 m,452.00 ft,30 floors,1991,completed
1917,311 South Wacker,Chicago,292.92 m,961.01 ft,65 floors,1990,completed
1918,1600 Museum Park,Chicago,108.89 m,357.25 ft,32 floors,2009,completed
1919,Kemper Building,Chicago,159.11 m,522.01 ft,41 floors,1962,completed
1920,The Sterling,Chicago,142.04 m,466.01 ft,50 floors,2001,completed
1921,633 North St. Clair,Chicago,114.30 m,375.00 ft,27 floors,1991,completed
1922,Princess Tower,Dubai,413.36 m,1356.17 ft,101 floors,2012,completed
1923,Makkah Royal Clock Tower Hotel,Mecca,601.00 m,1971.78 ft,120 floors,2013,completed
1924,One Metropolitan Square,Saint Louis,180.75 m,593.01 ft,42 floors,1989,completed
1925,Mövenpick Hotel,Istanbul,105.00 m,344.49 ft,24 floors,2002,completed
1926,1 Thibault Square,Cape Town,126.50 m,415.03 ft,32 floors,1972,completed
1927,Mandalay Bay Hotel & Casino,Las Vegas,146.31 m,480.02 ft,43 floors,1999,completed
1928,Paris Place,Vancouver,100.50 m,329.72 ft,33 floors,1995,completed
1929,SkyPoint,Tampa,110.03 m,361.00 ft,32 floors,2007,completed
1930,Tower Lider,Saint Petersburg,140.00 m,459.32 ft,40 floors,2011,completed
1931,Element,Tampa,140.21 m,460.01 ft,34 floors,2009,completed
1932,The Pinnacle,Vancouver,106.07 m,348.01 ft,36 floors,1996,completed
1933,580 California,San Francisco,106.99 m,351.00 ft,23 floors,1987,completed
1934,The Shoreham,Chicago,137.16 m,450.01 ft,47 floors,2005,completed
1935,191 North Wacker,Chicago,157.41 m,516.43 ft,37 floors,2002,completed
1936,Cape Sun Southern Sun,Cape Town,105.00 m,344.49 ft,33 floors,1982,completed
1937,St. Tropez Condominiums,New York City,102.72 m,337.00 ft,35 floors,1964,completed
1938,Trump International Hotel & Tower - Tower One,Las Vegas,189.59 m,622.01 ft,64 floors,2008,completed
1939,909 Chestnut,Saint Louis,179.23 m,588.01 ft,44 floors,1986,not in use
1940,Gold Coast Galleria,Chicago,100.89 m,331.00 ft,32 floors,1991,completed
1941,73 East Lake,Chicago,145.54 m,477.50 ft,42 floors,2014,completed
1942,1111 South Wabash,Chicago,111.86 m,367.00 ft,34 floors,2004,completed
1943,Millennium Tower,New York City,166.12 m,545.01 ft,46 floors,1994,completed
1944,240 Riverside Boulevard at Trump Place,New York City,110.34 m,362.00 ft,31 floors,2005,completed
1945,Ocean Palms,Hollywood,121.92 m,400.00 ft,38 floors,2006,completed
1946,101 West Broadway,San Diego,106.07 m,348.01 ft,20 floors,1982,completed
1947,PNC Centre,Chicago,150.54 m,493.88 ft,36 floors,1992,completed
1948,Three Mellon Center,Pittsburgh,158.50 m,520.01 ft,41 floors,1951,completed
1949,2400 Chestnut Apartments,Philadelphia,102.72 m,337.00 ft,34 floors,1979,completed
1950,One Pacific Place,Hong Kong,161.80 m,530.84 ft,40 floors,1988,completed
1951,Kinzie Park Tower,Chicago,111.25 m,365.00 ft,34 floors,2001,completed
1952,Empire Tower,Bangkok,226.80 m,744.09 ft,62 floors,1999,completed
1953,Hillsborough County Center,Tampa,114.30 m,375.00 ft,28 floors,1990,completed
1954,Flamingo Resort Residences III,Miami Beach,103.00 m,337.92 ft,32 floors,2001,completed
1955,595 Market Street,San Francisco,125.00 m,410.10 ft,30 floors,1979,completed
1956,Radisson Montevideo Hotel Torre Norte,Montevideo,115.00 m,377.30 ft,25 floors,1996,completed
1957,Three Allen Center,Houston,208.79 m,685.01 ft,50 floors,1980,completed
1958,The Hallmark,Chicago,113.39 m,372.00 ft,38 floors,1990,completed
1959,Menara IMC,Kuala Lumpur,109.00 m,357.61 ft,29 floors,1993,completed
1960,Panglin Plaza,Shenzhen,240.00 m,787.40 ft,57 floors,1999,completed
1961,Blue Diamond,Miami Beach,170.39 m,559.01 ft,44 floors,2000,completed
1962,US Bank Tower/Westin Hotel,Cincinnati,107.00 m,351.05 ft,26 floors,1981,completed
1963,220 Riverside Boulevard at Trump Place,New York City,165.26 m,542.18 ft,49 floors,2003,completed
1964,900 3rd Avenue,New York City,142.95 m,469.01 ft,32 floors,1983,completed
1965,Tour Lilleurope,Lille,110.00 m,360.90 ft,25 floors,1995,completed
1966,Horizon Tower,Dubai,190.02 m,623.41 ft,45 floors,2006,completed
1967,Tour Michelet,Puteaux,127.00 m,416.67 ft,34 floors,1985,completed
1968,388 Bridge Street,New York City,179.80 m,589.90 ft,49 floors,2014,completed
1969,Abdulrahim Place,Bangkok,187.00 m,613.52 ft,34 floors,1996,completed
1970,Metlife Centre,Cape Town,150.00 m,492.13 ft,28 floors,1993,completed
1971,Menara Bank Muamalat,Kuala Lumpur,150.50 m,493.77 ft,34 floors,1978,completed
1972,Franklin National Bank Building,New York City,119.18 m,391.00 ft,32 floors,1972,completed
1973,The Sandstone,Pasig,147.00 m,482.28 ft,41 floors,2019,topped out
1974,Robinsons Summit Center,Makati,174.04 m,571.01 ft,38 floors,2001,completed
1975,Two Roxas Triangle,Makati,174.25 m,571.69 ft,51 floors,,topped out
1976,380 Stuart Street,Boston,118.00 m,387.14 ft,27 floors,2019,approved
1977,Loews Hotel,Chicago,173.43 m,569.00 ft,54 floors,2015,completed
1978,215 West Washington,Chicago,155.06 m,508.71 ft,50 floors,2010,completed
1979,One Superior Place,Chicago,152.91 m,501.68 ft,52 floors,1999,completed
1980,Millennium Place Tower 2,Boston,135.77 m,445.44 ft,36 floors,2001,completed
1981,444 North Michigan,Chicago,135.64 m,445.01 ft,36 floors,1976,completed
1982,Five Post Oak Park,Houston,118.57 m,389.01 ft,28 floors,1983,completed
1983,Lake Shore Plaza,Chicago,123.45 m,405.01 ft,38 floors,1986,completed
1984,Osaka Ekimae 3 Building,Osaka,142.00 m,465.88 ft,34 floors,1979,completed
1985,Arbift Tower,Dubai,105.00 m,344.49 ft,23 floors,1982,completed
1986,Churchill Apartments,New York City,120.09 m,394.01 ft,32 floors,1967,completed
1987,Wyndham Grand Chicago Riverfront Hotel,Chicago,117.35 m,385.00 ft,36 floors,1960,completed
1988,University Club Tower,Milwaukee,136.01 m,446.24 ft,36 floors,2007,completed
1989,West End Towers,New York City,123.14 m,404.00 ft,38 floors,1995,completed
1990,The River North Tower,Bangkok,151.78 m,497.96 ft,43 floors,2011,completed
1991,The Fairmont Dubai,Dubai,152.85 m,501.48 ft,37 floors,2002,completed
1992,First Allied Plaza,San Diego,125.58 m,412.00 ft,23 floors,2005,completed
1993,China Online Centre,Hong Kong,201.25 m,660.27 ft,52 floors,2000,completed
1994,Marco Polo Ortigas Hotel,Pasig,41 floors,2014,completed
1995,Paris Las Vegas,Las Vegas,112.12 m,367.83 ft,34 floors,1999,completed
1996,Hordern Towers,Sydney,156.00 m,511.81 ft,48 floors,1999,completed
1997,22 Rothschild Avenue,Tel Aviv,130.00 m,426.51 ft,30 floors,2013,completed
1998,The Landmark East Tower,London,136.50 m,447.83 ft,44 floors,2010,completed
1999,919 Milam,Houston,112.47 m,369.01 ft,24 floors,1956,completed
2000,Plaza 66,Shanghai,288.16 m,945.41 ft,66 floors,2001,completed
2001,Three Embarcadero Center,San Francisco,126.00 m,413.39 ft,31 floors,1977,completed
2002,One Bank of America Plaza,Saint Louis,117.05 m,384.01 ft,31 floors,1981,completed
2003,De Admirant,Eindhoven,105.00 m,344.49 ft,31 floors,2006,completed
2004,Conrad Cairo,Cairo,100.00 m,328.08 ft,30 floors,1999,completed
2005,Ministry of Transport of Ukraine,Kyiv,106.00 m,347.77 ft,28 floors,1986,completed
2006,One River Place,New York City,122.78 m,402.83 ft,39 floors,2001,completed
2007,Gemelos 22 Torre 2,Benidorm,100.20 m,328.74 ft,32 floors,2002,completed
2008,500 Boylston Street,Boston,100.59 m,330.00 ft,25 floors,1985,completed
2009,ORC 200,Osaka,200.00 m,656.17 ft,51 floors,1993,completed
2010,Student Castle,Manchester,109.00 m,357.61 ft,37 floors,2012,completed
2011,Four World Trade Center,New York City,297.80 m,977.03 ft,64 floors,2015,completed
2012,Financial Center,Des Moines,105.16 m,345.00 ft,25 floors,1973,completed
2013,Vista Tower,Kuala Lumpur,238.00 m,780.84 ft,62 floors,1994,completed
2014,Dubai Creek Tower,Dubai,117.00 m,383.86 ft,29 floors,1995,completed
2015,420 East Ohio,Chicago,122.00 m,400.27 ft,41 floors,1990,completed
2016,Torre Bouchard,Buenos Aires,110.00 m,360.90 ft,30 floors,1996,completed
2017,Rinku Gate Tower,Izumisano,256.00 m,839.89 ft,56 floors,1996,completed
2018,Enterprise Plaza,Houston,230.40 m,755.92 ft,55 floors,1980,completed
2019,China United Plaza,Hong Kong,113.74 m,373.16 ft,30 floors,1997,completed
2020,Centre Point,London,117.30 m,384.84 ft,35 floors,1967,under renovation
2021,Asia,Miami,147.22 m,483.01 ft,36 floors,2007,completed
2022,James House,Chicago,121.26 m,397.84 ft,43 floors,1971,completed
2023,Avalon Riverview North,New York City,117.35 m,385.00 ft,39 floors,2007,completed
2024,Naberezhnaya Tower B,Moscow,127.00 m,416.67 ft,29 floors,2006,completed
2025,Hilton World Trade Center Residences II,Cairo,100.00 m,328.08 ft,32 floors,,completed
2026,Trammell Crow Center,Dallas,209.10 m,686.01 ft,50 floors,1985,completed
2027,RSA Towers,Montgomery,114.30 m,375.00 ft,22 floors,1996,completed
2028,Gorkogo Street 41A,Kyiv,105.00 m,344.49 ft,32 floors,2006,completed
2029,Malibu East,Chicago,124.36 m,408.01 ft,45 floors,1970,completed
2030,Optima,Toronto,108.00 m,354.33 ft,34 floors,2003,completed
2031,Leninsky Prospekt 106-1,Moscow,105.60 m,346.46 ft,29 floors,2003,completed
2032,Suasana Sentral Residences II,Kuala Lumpur,146.00 m,479.00 ft,37 floors,2001,completed
2033,Venus,Vancouver,109.43 m,359.01 ft,34 floors,2000,completed
2034,The Grande North at Santa Fe Place,San Diego,128.02 m,420.01 ft,39 floors,2005,completed
2035,Hotel Pullman Paris Montparnasse,Paris,116.00 m,380.58 ft,31 floors,1974,completed
2036,Sint-Maartensdal Blok 5,Leuven,112.00 m,367.45 ft,22 floors,,completed
2037,Centro Médico Puerta de Hierro,Zapopan,110.00 m,360.89 ft,26 floors,,completed
2038,Three Lincoln Center Condominiums,New York City,181.36 m,595.01 ft,60 floors,1993,completed
2039,US Bank Center,St. Paul,103.12 m,338.30 ft,25 floors,1975,completed
2040,Radio & Television Building,Cairo,100.00 m,328.08 ft,30 floors,1957,completed
2041,The Tower,Neuss,165.00 m,541.34 ft,44 floors,,canceled
2042,Residences on Georgia West,Vancouver,108.00 m,354.33 ft,36 floors,1998,completed
2043,Park Place,Vancouver,140.00 m,459.32 ft,35 floors,1984,completed
2044,Marina Crown,Dubai,207.00 m,679.13 ft,52 floors,2006,completed
2045,10 West End Avenue,New York City,106.68 m,350.00 ft,31 floors,2007,completed
2046,Aramark Tower,Philadelphia,125.58 m,412.00 ft,32 floors,1984,completed
2047,The Dorchester,Philadelphia,103.33 m,339.00 ft,32 floors,1963,completed
2048,South Park Tower,New York City,157.28 m,516.01 ft,51 floors,1986,completed
2049,Avondale Center,Chicago,121.92 m,400.00 ft,36 floors,1980,completed
2050,Hung Cheung Plaza,Shenzhen,218.00 m,715.22 ft,63 floors,2004,completed
2051,Olympia Centre,Chicago,222.90 m,731.29 ft,63 floors,1986,completed
2052,Atlantic Wharf,Boston,139.00 m,456.04 ft,31 floors,2010,completed
2053,Suasana Sentral Residences I,Kuala Lumpur,142.00 m,465.88 ft,36 floors,2001,completed
2054,Paul Hastings Tower,Los Angeles,213.06 m,699.01 ft,52 floors,1972,completed
2055,Stratosphere,London,123.25 m,404.36 ft,38 floors,,frame assembly
2056,Torre HSBC,Mexico City,131.00 m,429.79 ft,31 floors,2005,completed
2057,The Setai Tower,Miami Beach,117.53 m,385.59 ft,38 floors,2004,completed
2058,Sam Gibbons Federal Courthouse,Tampa,114.30 m,375.00 ft,17 floors,1997,completed
2059,Millennium Tower,San Francisco,196.60 m,645.01 ft,58 floors,2009,completed
2060,Fifth Third Center,Chicago,137.16 m,450.01 ft,35 floors,1971,completed
2061,Island Resort Tower 3-5,Hong Kong,202.15 m,663.22 ft,60 floors,2001,completed
2062,One California,San Francisco,133.50 m,437.99 ft,32 floors,1969,completed
2063,Wells Fargo Plaza,San Diego,100.89 m,331.00 ft,23 floors,1984,completed
2064,Lyric Centre,Houston,111.25 m,365.00 ft,26 floors,1984,completed
2065,TÜV Rheinland,Cologne,112.00 m,367.45 ft,22 floors,1974,completed
2066,840 North Lake Shore Drive,Chicago,100.18 m,328.67 ft,27 floors,2004,completed
2067,One Logan Square,Philadelphia,121.92 m,400.00 ft,31 floors,1983,completed
2068,160 Riverside Boulevard at Trump Place,New York City,108.00 m,354.33 ft,33 floors,2001,completed
2069,Center at 600 Vine,Cincinnati,127.41 m,418.01 ft,30 floors,1984,completed
2070,801 Grand,Des Moines,192.03 m,630.02 ft,45 floors,1991,completed
2071,Hélios City A,Klaipeda,116.55 m,382.38 ft,33 floors,2011,canceled
2072,100 Simcoe,Toronto,198.00 m,649.61 ft,59 floors,,proposed
2073,33 South Sixth,Minneapolis,203.58 m,667.92 ft,52 floors,1982,completed
2074,401 East Ontario,Chicago,156.97 m,515.01 ft,51 floors,1990,completed
2075,World Trade Center Genoa,Genoa,101.80 m,333.99 ft,25 floors,,completed
2076,One Commerce Square,Philadelphia,172.21 m,565.01 ft,41 floors,1987,completed
2077,Central World Tower,Bangkok,198.80 m,652.23 ft,51 floors,2004,completed
2078,Consilio Regionale Campania,Naples,115.00 m,377.30 ft,28 floors,1994,completed
2079,70 Columbus,Jersey City,161.40 m,529.53 ft,48 floors,2015,completed
2080,Brooks Towers,Denver,128.02 m,420.01 ft,42 floors,1968,completed
2081,Villa Ratchatewi,Bangkok,43 floors,,completed
2082,Pathumwan Resort,Bangkok,40 floors,1998,completed
2083,Kakyoin Square,Sendai,106.00 m,347.77 ft,23 floors,1999,completed
2084,National Center of Sciences Building,Tokyo,109.12 m,358.01 ft,23 floors,1999,completed
2085,Trump Tower,Stuttgart,180.00 m,590.55 ft,50 floors,,canceled
2086,Oklahoma Tower,Oklahoma City,132.28 m,433.99 ft,31 floors,1982,completed
2087,BKLYN Air,New York City,131.70 m,432.09 ft,39 floors,2014,completed
2088,Cathay Landmark,Taipei,212.00 m,695.54 ft,46 floors,2014,completed
2089,Goodwin Square,Hartford,159.11 m,522.01 ft,30 floors,1989,completed
2090,Ubora Tower 1,Dubai,262.80 m,862.20 ft,57 floors,2011,completed
2091,Eventi,New York City,187.15 m,614.01 ft,53 floors,2010,completed
2092,80 Park Plaza,Newark,109.73 m,360.00 ft,26 floors,1980,completed
2093,Sea Tower,Bat Yam,138.00 m,452.76 ft,37 floors,2018,completed
2094,Manhattan Plaza Tower 1,Quezon City,40 floors,,completed
2095,27 Annapolis,San Juan,45 floors,,completed
2096,Time-Life Building,New York City,178.92 m,587.01 ft,48 floors,1958,completed
2097,Panorama Tower II,Las Vegas,128.02 m,420.01 ft,33 floors,2008,completed
2098,Regions Center,Birmingham,118.87 m,390.00 ft,30 floors,1972,completed
2099,AEP Building,Columbus,139.00 m,456.04 ft,31 floors,1983,completed
2100,The Infinity,Bangkok,150.00 m,492.13 ft,40 floors,2008,completed
2101,Shin Kong Life Tower,Taipei,244.76 m,803.01 ft,51 floors,1993,completed
2102,BSA Tower Makati,Makati,153.93 m,505.01 ft,37 floors,1998,completed
2103,One Roxas Triangle,Makati,174.25 m,571.69 ft,51 floors,2000,completed
2104,CenturyLink Tower,Phoenix,121.01 m,397.01 ft,25 floors,1989,completed
2105,Stratford Central,London,103.00 m,337.93 ft,33 floors,2017,completed
2106,Sthlm 01,Stockholm,102.00 m,334.65 ft,27 floors,2020,completed
2107,2 Lincoln Square Apartments,New York City,102.11 m,335.00 ft,36 floors,1975,completed
2108,48 Burj Gate,Dubai,203.20 m,666.67 ft,60 floors,2014,completed
2109,321 North Clark Street,Chicago,155.45 m,510.01 ft,35 floors,1987,completed
2110,Michelangelo Towers,Sandton,140.00 m,459.32 ft,34 floors,2005,completed
2111,KeyBank Tower,Dayton,117.35 m,385.00 ft,27 floors,1976,completed
2112,2 East Erie,Chicago,126.49 m,415.01 ft,39 floors,2002,completed
2113,Avenue Hotel,Chicago,119.79 m,393.01 ft,40 floors,1973,completed
2114,The Pinnacle,Sunny Isles Beach,145.09 m,476.01 ft,40 floors,1998,completed
2115,Rialto Towers,Melbourne,251.07 m,823.72 ft,63 floors,1986,completed
2116,Hélios City B,Klaipeda,116.55 m,382.38 ft,37 floors,2011,canceled
2117,Tour Finances / Financietoren,Brussels,141.00 m,462.60 ft,36 floors,1982,completed
2118,200 East Delaware,Chicago,102.41 m,336.00 ft,36 floors,1972,completed
2119,One Seaport Plaza,New York City,134.10 m,439.96 ft,34 floors,1984,completed
2120,Torre WTC,Mexico City,172.26 m,565.16 ft,50 floors,1972,completed
2121,Hartford Plaza South,Chicago,126.49 m,415.01 ft,33 floors,1971,completed
2122,Jade at Brickell Bay,Miami,160.94 m,528.01 ft,48 floors,2004,completed
2123,400 East Ohio Street,Chicago,153.93 m,505.01 ft,50 floors,1982,completed
2124,Florsheim Tower,Chicago,107.29 m,352.00 ft,30 floors,1984,completed
2125,South African Reserve Bank Building,Pretoria,150.00 m,492.13 ft,38 floors,1988,completed
2126,Sheraton Seattle Hotel,Seattle,113.08 m,371.00 ft,34 floors,1982,completed
2127,300 North Meridian,Indianapolis,124.36 m,408.01 ft,28 floors,1989,completed
2128,Walton Colonnade,Chicago,120.40 m,395.00 ft,44 floors,1972,completed
2129,United Western Financial Center,Denver,108.82 m,357.00 ft,24 floors,1961,completed
2130,Ellison Building,Boston,104.24 m,342.00 ft,24 floors,1992,completed
2131,La Gorce Palace,Miami Beach,105.10 m,344.81 ft,34 floors,1996,completed
2132,Shell Centre,London,107.00 m,351.05 ft,26 floors,1962,completed
2133,Marbella Apartments,Jersey City,130.15 m,427.00 ft,40 floors,2003,completed
2134,Callisto,Vancouver,106.07 m,348.01 ft,35 floors,2004,completed
2135,Ghaya Residence,Dubai,131.00 m,429.79 ft,34 floors,1997,completed
2136,Kaisa Feng Long Centre,Shenzhen,500.00 m,1640.42 ft,92 floors,,approved
2137,Bell Tower Metropolitan Housing,Tokyo,102.99 m,337.90 ft,33 floors,1999,completed
2138,Century Park Tower,Tokyo,180.00 m,590.55 ft,54 floors,1999,completed
2139,The Landmark,Abu Dhabi,324.00 m,1062.99 ft,72 floors,2013,completed
2140,Mirabilia Palermo 2,Buenos Aires,128.77 m,422.47 ft,45 floors,2007,completed
2141,Grand Hyatt Cairo,Cairo,142.00 m,465.88 ft,41 floors,2002,completed
2142,Chemed Center,Cincinnati,125.00 m,410.10 ft,32 floors,1991,completed
2143,Electra,San Diego,144.78 m,475.01 ft,43 floors,2008,completed
2144,Chelyabinsk-City,Chelyabinsk,111.00 m,364.17 ft,23 floors,2007,completed
2145,Capital Square Tower 1,Kuala Lumpur,198.23 m,650.36 ft,40 floors,1994,completed
2146,Franklin County Courthouse,Columbus,141.40 m,463.91 ft,27 floors,1991,completed
2147,Metcalfe Federal Building,Chicago,120.70 m,396.00 ft,27 floors,1991,completed
2148,Sage Plaza,Houston,100.59 m,330.00 ft,25 floors,1983,completed
2149,Freshwater Place Residential Tower,Melbourne,205.00 m,672.57 ft,63 floors,2005,completed
2150,Imperia Tower,Moscow,238.74 m,783.28 ft,60 floors,2011,completed
2151,Hong Leong Finance Building,Singapore,158.00 m,518.37 ft,45 floors,1976,completed
2152,Hunter's Point South Crossing Tower,New York City,108.00 m,354.33 ft,32 floors,2015,completed
2153,Millennium Place Tower 1,Boston,144.83 m,475.16 ft,38 floors,2001,completed
2154,First National Bank Center,San Diego,115.52 m,379.01 ft,27 floors,1982,completed
2155,Manchester Grand Hyatt Hotel,San Diego,151.49 m,497.00 ft,40 floors,1992,completed
2156,C Ekkamai,Bangkok,44 floors,2018,topped out
2157,Ashton Silom,Bangkok,48 floors,,frame assembly
2158,Blue Residences,Quezon City,132.20 m,433.73 ft,41 floors,2014,completed
2159,The Enterprise Center Tower 1,Makati,172.00 m,564.30 ft,40 floors,2001,completed
2160,The Enterprise Center Tower 2,Makati,135.00 m,442.91 ft,30 floors,2001,completed
2161,One Eastwood Avenue Tower 1,Quezon City,47 floors,2017,completed
2162,Citibank Tower,Makati,118.57 m,389.01 ft,33 floors,1995,completed
2163,Viridian at Greenhills,San Juan,190.00 m,623.36 ft,53 floors,2016,completed
2164,The Meranti at Two Serendra,Taguig,45 floors,2014,completed
2165,The Sequoia at Two Serendra,Taguig,53 floors,2018,completed
2166,345 Park Avenue,New York City,193.25 m,634.01 ft,44 floors,1969,completed
2167,Optima Chicago Center,Chicago,134.86 m,442.44 ft,42 floors,2013,completed
